name,brand,description,color,size,price,curateditem_url
"Badgley Mischka Collection Metallic Jacquard Bow-Front Midi Dress","Badgley Mischka","This Badgley Mischka Collection midi dress features metallic jacquard and a front bow sash. This sleeveless dress has an asymmetric neckline and a center back slit. The hem falls below the knee. Sheath silhouette. Invisible back zipper. Approximately 47""L from shoulders to hem.","pink multi",8,440,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250039488771394465232019&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fbadgley-mischka-collection-bow-front-metallic-jacquard-midi-sheath-dress-prod279590194"
"CALLAS Milano Cameron Landmark-Print Silk Twill Blouse","CALLAS MILANO","The CALLAS Milano Cameron blouse is crafted in Italy from landmark-print silk twill. The relaxed fit shirt features a pointed collar, long sleeves, and button cuffs. It has a button-up closure.",white,"44 IT (8 US)",396,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500316557172696613013426&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fcallas-milano-cameron-landmark-print-silk-twill-blouse-prod276750365"
"Barn Mini Leather-Trimmed Striped Mesh Tote","THE ROW","The Row 'Barn' tote is a lightweight and slim shopper. Made from striped mesh, it has leather top handles and enough space inside for a phone, wallet and sunglasses case. The bag is a tote.",multi,one-size,870,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444910468562271594872462&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fthe-row%2Fbags%2Fmini-bags%2Fbarn-mini-leather-trimmed-striped-mesh-tote%2F1647597359753811"
"Black & White Wool Crepe Couture Minidress",valentino,"This Valentino minidress is crafted in Italy from 65% wool and 35% silk. It features pockets with embroidery, a lining of 100% silk, and a trim of 98% cotton and 2% elastane. The dress has a closure with a zipper and hook fastening. The material composition includes 100% viscose, 52% viscose and 48% silk (recycled), and 98% cotton and 2% elastane. The embroidery is 100% polyester. Care instructions: dry clean.","black,white","US 4",4800,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fvalentino-crepe-couture-embroidered-minidress-black-p01060156%3Ffeed_num%3DP01060156%26feed_des%3DValentino%26feed_mwg%3Dclothing"
"DÔEN Julie Paisley-Print Mini Dress",DÔEN,"The DÔEN 'Julie' mini dress features paisley florals and ricrac trims. The mini dress is made from organic cotton-poplin and has a floaty a-line shape with gently puff sleeves and a square neckline.",blue,"xx small",248,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444918002630797941366513&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fdoen%2Fclothing%2Fmini-dresses%2Fjulie-paisley-print-organic-cotton-poplin-mini-dress%2F46376663162842941"
"Green Midi Dress","Victoria Beckham","This midi dress from Victoria Beckham is crafted from 50% viscose, 47% acetate, and 3% elastane. It features a zipped back, raglan sleeves, and should be dry cleaned. It is made in Portugal.",green,"US 4",1450,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fvictoria-beckham-dolman-cady-midi-dress-green-p01053849%3Ffeed_num%3DP01053849%26feed_des%3DVictoriaBeckham%26feed_mwg%3Dclothing"
"Chocolate Margo Jersey T-Shirt",Leset,,chocolate,XS,86,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fleset-margo-cotton-jersey-t-shirt-brown-p01069315"
"Cream Cashmere Sweater",FRAME,,cream,"x small",398,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/frame/clothing/round-neck/scalloped-pointelle-knit-cashmere-sweater/46376663162878752"
"Cleona Long-Sleeve Ribbed Top","IRO PARIS","The Iro ""Cleona"" top features a crew neckline and long sleeves. It has a fitted silhouette and a hem that sits at the hip. This ribbed top is designed in a pullover style made of viscose, nylon, and polyamide.",blackgrey,Large,295,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500312353124331266027458&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Firo-cleona-long-sleeve-ribbed-top-prod280720302"
"Ippolita 925 Rock Candy Gelato Bangle",ippolita,"This Ippolita bangle is from the 925 Rock Candy Collection. This slip-on style bangle is sterling silver with a shiny finish. It features clear quartz, black shell doublets, faceted hematite and pyrite stones. The bangle has an approximate 2.6"" opening.",silver,Medium,1295,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033887557601713596582&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fippolita-925-rock-candy-gelato-10-stone-bangle-in-black-tie-prod266810178"
"Alice + Olivia Martel Flutter-Sleeve Blouse","Alice + Olivia","The Alice + Olivia Martel blouse features a whimsical ice cream sundae print, collared neckline, and flutter cap sleeves. The blouse has a yoked back, hip length, and button front closure. It is crafted from fluid crepe de chine silk and should be dry cleaned.","sundae pink bloom",X-Small,118,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500316904731760041150393&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Falice-olivia-martel-flutter-sleeve-blouse-prod281110451"
"Strapless Rhinestone-Embellished Mermaid Gown","Chiara Boni La Petite Robe","This Chiara Boni La Petite Robe gown features a strapless sweetheart neckline and a mermaid silhouette. It is embellished with a rhinestone floral detail and a side ruffle. This full-length, sleeveless dress has an invisible back zipper. Made in Italy of nylon, polyamide, and elastane.","blu notte",4,1260,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250037833538223633833284&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fchiara-boni-la-petite-robe-strapless-flower-embellished-mermaid-gown-prod281480109"
"Horsebit Raffia Ballet Flats",Gucci,"These ballet flats by Gucci are crafted in Italy from raffia with leather trim. The design features a round toe, leather insole and sole, horsebit detailing and buckle fastening.",beige,"US 9.5",1130,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fgucci-horsebit-raffia-ballet-flats-beige-p01062926%3Ffeed_num%3DP01062926%26feed_des%3DGucci%26feed_mwg%3Dshoes"
"Ornella Linen-Blend Wide-Leg Pants",tove,"These 'Ornella' pants from TOVE are cut wide and slightly cropped from airy linen-blend. They have pressed creases to refine the shape.",neutrals,"FR 34",775,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244497945365680287553413&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Ftove%2Fclothing%2Fwide-leg%2Fornella-linen-blend-wide-leg-pants%2F46376663162887219"
"Rag & Bone Ultra Featherweight Nolan Denim Shorts","Rag & Bone","The Rag & Bone Ultra Featherweight Nolan shorts are crafted in light denim with an effortless drape. These high-rise, denim shorts feature a drawstring waistband, four-pocket style, a relaxed fit, and a rounded hem. They have a 2.75"" inseam and a button/zip fly with belt loops. The shorts are made of cotton and lyocell and are unlined.",asbry,Small,138.6,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500316415442265163191343&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Frag-bone-ultra-featherweight-nolan-drawstring-shorts-prod280890798"
"MZ WALLACE Sutton Micro Quilted Crossbody Bag","Mz Wallace","The MZ WALLACE Sutton crossbody bag is crafted in quilted nylon and leather. This micro bag features top handles and a detachable, adjustable crossbody strap. It can be worn as a top handle or crossbody bag. The bag is designed with a two-way zip top closure and side lobster clasps. The interior features one zip pocket and one slip pocket. Approximate dimensions are 6.7"" H x 6.8"" W x 4.7"" D. This is a crossbody, handheld, and shoulder bag.",caramel,one-size,185,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500315191973297802775266&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fmz-wallace-sutton-micro-quilted-crossbody-bag-prod279770061"
"Pool-Plated Cuff",completedworks,"The Completedworks cuff bracelet is inspired by natural, flowing water pools. Designed to hug the wrist, this sculptural cuff is handcrafted from gold-plated recycled brass and treated for a satinated finish.",gold,medium,630,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244491481319001047571641&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fcompletedworks%2Fjewelry-and-watches%2Fbangles-cuffs%2Fpool-gold-plated-cuff%2F46376663162867482"
"Orange Satin Sienna Halterneck Midi Dress",Galvan,"This Sienna midi dress from Galvan is crafted in the UK from 80% triacetate and 20% polyester. The orange dress features a halterneck, finished hem, self-tie closure, and a concealed buttoned back. Care instructions: dry clean.",orange,"US 4",1395,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fgalvan-sienna-halterneck-satin-midi-dress-orange-p01048677%3Ffeed_num%3DP01048677%26feed_des%3DGalvan%26feed_mwg%3Dclothing"
"FRAME Femme Cable Mix Crewneck Sweater",FRAME,"The FRAME Femme sweater features a mixed cable knit design, a crew neckline, and long sleeves. The hem sits at the hip. It has a relaxed fit and is a pullover style crafted from cotton, nylon, polyamide, and mohair.","blush multi",Small,246,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033176727025218794204&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fframe-femme-cable-mix-crewneck-sweater-prod275860041"
"Black Knit Cardigan",Loewe,"The Loewe fashion house presents this original cardigan with a sophisticated look. Its contrasting details and refined finishes make it a unique garment that you will love to wear.",black,XS,1350,"https://www.mytheresa.com/us/en/women/loewe-embroidered-cotton-cardigan-black-p01066216?dplink=true&pub_name=5001908&chn=aff1&src=cj&cmp=aff_cj_us&tarea=us&ptyp=dlg&pub_id=8455109&utm_source=affiliate&utm_medium=affiliate_cj_us&utm_content=8455109&cjevent=eaf167e87a1211f0803b00c00a18b8f7&slink_id=984d1813-9760-4c21-b7d5-5a98fd0492ac&slink=1"
"Jean Paul Gaultier Spiral Print Denim Mini Skirt","jean paul gaultier","This Jean Paul Gaultier denim skirt features a spiral print, a mid-rise waist, and a five-pocket style. This mini-length skirt has a pencil silhouette, a button and zip fly, and belt loops. It is crafted from cotton and made in Italy.",indigo,"38 FR (6 US)",550,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250034521318569079081620&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fjean-paul-gaultier-spiral-print-denim-mini-skirt-prod278460059"
"Meg Zip-Front Mini Shirtdress",PISTOLA,"The PISTOLA ""Meg"" is a cotton mini shirt dress finished with a zip-front, point collar and epaulets. This shirtdress features short sleeves, an adjustable drawstring waist, and side pockets. The hem falls above the knee. It is made of cotton and spandex.",lemonade,X-Small,117.6,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500315039178676322139705&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fpistola-meg-short-sleeve-zip-front-shirtdress-prod284580067"
"Black & White Bodysuit","The Upside","The Upside Prix Charlize Bodysuit is crafted from 75% recycled polyamide and 25% elastane. This black, color blocked bodysuit features removable cup padding and details of 80% polyester and 20% elastane. Machine wash cold. Made in China.","black & white","US 4",220,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fthe-upside-prix-charlize-colorblocked-bodysuit-black-p01102042%3Ffeed_num%3DP01102042%26feed_des%3DTheUpside%26feed_mwg%3Dclothing"
"Navy Gathered Shirred Striped Midi Dress","Tory Burch","This TORY BURCH dress is crafted from 100% cotton and features a full lining. ",navy,"US 6",800,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/tory-burch/clothing/maxi-dresses/gathered-shirred-pleated-striped-cotton-midi-dress/46376663162900618"
"Izel Linen Bandeau Top",tove,"This 'Izel' bandeau top from TOVE is crafted from linen. It features a gathered design and zip up.",beige,"FR 34",595,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/tove/clothing/tanks-and-camis/izel-linen-bandeau-top/46376663162887220"
"Black Latido Silente Strapless Bustier Top","Andres Otalora",,black,"US 4",520,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/andres-otalora/clothing/tops/latido-silente-strapless-twill-bustier-top/46376663162931483"
"Black Midi Skirt",Erdem,,black,"US 4",1545,"https://www.dpbolvw.net/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Ferdem-floral-midi-skirt-black-p01058098%3Ffeed_num%3DP01058098%26feed_des%3DErdem%26feed_mwg%3Dclothing"
"Multi Sleeveless Top","jean paul gaultier",,"orange,white,black",S,490,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/jean-paul-gaultier-fire-tulle-top-multicoloured-p01072576"
"Striped Cashmere Sweater ","Loro Piana","- Ivory cotton-poplin, cream lace - Button fastenings along front - 100% cotton - Unlined",cream,M,495,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/loro-piana/clothing/cardigans/striped-cashmere-cardigan/46376663162891056"
"Black Heidi Pleated Midi Skirt","proenza schouler",,black,"US 4",449,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/proenza-schouler-white-label/clothing/midi/heidi-pleated-cotton-blend-midi-skirt/46376663162951609"
"Blue Denim High Rise Straight Jeans","citizens of humanity",,blue,"Size 25",400,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/citizens-of-humanity-palma-high-rise-straight-jeans-blue-p01054051"
"Gray Cashmere Cropped May Tank","NILI LOTAN","This 'May' tank from Nili Lotan is crafted from lightweight cashmere and features a slim fit, ribbed hem, and subtle cable detailing at the nape. It is a cropped, sleeveless, knit top/ribbed top and a tank.",gray,small,470,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fnili-lotan%2Fclothing%2Fround-neck%2Fmay-cropped-cashmere-tank%2F46376663162867409"
"White Brigette Off-The Shoulder Belted Mini Dress",miguelina,,white,S,550,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444913706741733384318727&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fmiguelina%2Fclothing%2Fcoverups%2Fbrigette-off-the-shoulder-belted-lace-trimmed-embroidered-cotton-voile-mini-dress%2F46376663162854821"
"adidas Originals Gazelle Indoor Suede Sneakers","adidas originals by alexander wang","The adidas Originals 'Gazelle Indoor' sneakers were initially released in the '70s as an indoor sports shoe. This iteration is made from suede with gummed rubber soles and lace up fastening. These are sneakers.",neutrals,"UK 3.5",72,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444911751836945359316608&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fadidas-originals%2Fshoes%2Flow-top%2Fgazelle-indoor-suede-sneakers%2F1647597353661037"
"Maycee Tubular Leather T-Strap Flat Sandals","marc fisher","These Marc Fisher LTD sandals are crafted of tubular calf leather with a thong strap and T-strap vamp. These slip-on sandals have a flat heel measuring 0.50 in / 15 mm and a manmade outsole. The sandals are sandals and feature an ankle strap and synthetic lining.","chic cream","10B / 40EU",120,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250035292306683426918166&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fmarc-fisher-ltd-maycee-tubular-leather-t-strap-flat-sandals-prod278510449"
"Beige & Green Tidal Sandrine Crochet Minidress","The Upside",,"beige,green","US 4",310,"https://www.kqzyfj.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fthe-upside-tidal-sandrine-cotton-crochet-minidress-beige-p01102633%3Ffeed_num%3DP01102633%26feed_des%3DTheUpside%26feed_mwg%3Dclothing"
"Cinq a Sept Regan Mini Dress","Cinq à Sept","The Cinq a Sept Regan mini dress is crafted of drapey crepe and finished with a pleated skirt. It features notch lapels and a V neckline. This long sleeve dress has button cuffs, waist flap pockets, a tailored silhouette and a button front. The hem falls above the knee and measures approximately 32.8""L.",black,0,218,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033702197848138324899&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fcinq-a-sept-regan-long-sleeve-mini-dress-prod278490022"
"Blue Thea High-Rise Linen Shorts",Posse,"These high-rise shorts by Posse are crafted of 100% linen. These shorts should be hand washed. They are made in China and feature a flat front.",Blue,"US 2",240,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fposse-thea-linen-shorts-blue-p01078806%3Ffeed_num%3DP01078806%26feed_des%3DPosse%26feed_mwg%3Dclothing"
" Light Blue Patch-Pocket Boyfriend Jeans","MARQUES' ALMEIDA","Marques'Almeida boyfriend jeans in lightwash denim feature a high rise, wide legs, and full length. These jeans are designed with front and back patch pockets, a button/zip fly, and belt loops. The hem is finished with a frayed edge.","light blue","8 UK (4 US)",360,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fmarquesalmeida-patch-pocket-boyfriend-jeans-prod281500404"
"Black Crepe Slim Colby Pants","LA LIGNE","La Ligne's 'Slim Colby' pants are made from crepe. These wide leg pants have a high, elasticated waistband and soft folds along the loose legs.",black,"x small",250,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fla-ligne%2Fclothing%2Fwide-leg%2Fslim-colby-crepe-pants%2F1647597358606879"
"Denim straight-leg pants",LEMAIRE,,off-white,"FR 34",610,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/lemaire/clothing/straight-leg/denim-straight-leg-pants/46376663162893016"
"Black Anabel Cady Blazer","NILI LOTAN","This blazer from NILI LOTAN is crafted from 69% triacetate and 31% polyester. The design features button fastenings through the front and notched lapel.",black,"US 4",1650,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fnili-lotan%2Fclothing%2Fblazers%2Fanabel-cady-blazer%2F46376663162867353"
"MOTHER The Biggie Concert Pullover",MOTHER,"The MOTHER ""The Biggie Concert"" sweatshirt features a graphic print, crew neckline, and long raglan sleeves. The hem falls to the hip. This relaxed fit pullover style is crafted in the USA from cotton.","mother twinkle",Small,75,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250039278557071202941023&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fmother-the-biggie-concert-pullover-prod277620249"
"Burgundy Velvet Bow Tie Small Clutch",AQUAZZURA,"Material: fabric. Lining: fabric, leather. Made in Italy. Designer color name: Merlot/Light Gold. Item color: burgundy. Hardware color: gold. Internal details: single compartment. Chain shoulder strap. Color of strap: gold. Closure: magnetic fastening.",burgundy,"One Size",1780,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Faquazzura-bow-tie-small-velvet-clutch-burgundy-p01076253%3Ffeed_num%3DP01076253%26feed_des%3DAquazzura%26feed_mwg%3Dbags"
"Black Leather Medium Andiamo Bag","bottega veneta","Bottega Veneta 'Andiamo' top handle bag in smooth leather features a signature sliding knotted accent and a foldover flap top with hook closure. This medium bag has a divided compartment interior with intrecciato trim and protective feet at the bottom. It can be worn as a top handle or shoulder bag with its removable shoulder strap. Approx. 10.2""H x 13""W x 5.9""D. Made in Italy.",black,medium,5900,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fbottega-veneta-andiamo-medium-leather-top-handle-bag-prod279420126"
"Gold Tone Sunglasses",Celine,"CELINE Eyewear's aviator-style sunglasses are crafted from gold-tone metal and have acetate temple tips. They feature the brand's signature 'Triomphe' logo along the arms.",gold,"One size",550,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244493074457345627844773&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fceline-eyewear%2Faccessories%2Fround-frame%2Ftriomphe-aviator-style-gold-tone-and-acetate-sunglasses%2F1647597336775342"
"Dahlia Blossom Cap-Sleeve Mini Dress","Rebecca Vallance","The REBECCA VALLANCE ""Dahlia Blossom"" mini dress features a floral print, jewel neckline, and cap sleeves. This A-line silhouette dress has onseam pockets, a hem that falls above the knee, and an invisible back zipper. It is crafted from polyester and requires dry cleaning.",print,8,570,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250038615918117354601718&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Frebecca-vallance-dahlia-blossom-cap-sleeve-mini-dress-prod282160138"
"Gizi Chain Suede Loafers","PEDRO GARCIA","These Pedro Garcia ""Gizi"" moccasin loafers are crafted of calf suede and feature a square toe, notched vamp, and metallic wooden chain trim. They have a 1.00 in / 25 mm block heel, leather lining, a slip-on style, and a rubber outsole. Made in Spain.","acorn plush suede-gold","7.5B / 37.5EU",750,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500312944227990703892723&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fpedro-garcia-gizi-chain-suede-moccasins-loafers-prod280330073"
"Black Silk Lace Blouse",chloé,,black,"US 2",2090,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fchloe-lace-trimmed-silk-crepe-de-chine-blouse-black-p01067924%3Ffeed_num%3DP01067924%26feed_des%3DChlo%C3%83%C2%A9%26feed_mwg%3Dclothing"
"cardiff frame, 8x10","PIGEON AND POODLE","Metallic, contoured photo frame. Wood composite covered in faux linen fabric. Holds an 8"" x 10"" photo. Imported.","warm silver",8X10,228,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250037371641789382953523&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fpigeon-and-poodle-cardiff-frame-8x10-prod218640021"
"Black Mock-Neck Jersey Top","Brunello Cucinelli","This jersey top from Brunello Cucinelli features a mock neckline, short sleeves, and a slim fit. It has a draped D-ring belted waist detail and a back zip closure. ",black,Small,2180,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fbrunello-cucinelli-mock-neck-buckle-draped-jersey-top-prod282310209"
"Black Grain De Poudre Straight Leg Pants","Victoria Beckham",,black,"US 0",790,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444915164940098258316540&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fvictoria-beckham%2Fclothing%2Fstraight-leg%2Fgrain-de-poudre-straight-leg-pants%2F46376663162891147"
"White Cashmere Cardigan",Gucci,,white,XS,2200,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gucci/clothing/cardigans/cashmere-and-silk-blend-cardigan/46376663162893828"
"Gucci Paride Web Stripe Loafers",Gucci,"The Gucci Paride loafers are crafted of leather with a stacked heel and leather outsole. These slip-on loafers feature an almond toe, web stripe and Horsebit hardware. Made in Italy.",black,"8 UK (9D US)",1050,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250038228807166946489261&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fgucci-mens-paride-web-stripe-bit-loafers-prod262980130"
"White Printed Short Sleeve Blouse",erdem,,white,"UK 10",945,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/erdem/clothing/blouses/printed-cotton-poplin-blouse/46376663162865447"
"Black Ruched Midi Dress","Victoria Beckham",,black,"US 2",1180,"https://www.kqzyfj.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fvictoria-beckham-ruched-midi-dress-black-p01102428%3Ffeed_num%3DP01102428%26feed_des%3DVictoriaBeckham%26feed_mwg%3Dclothing"
"Ulla Johnson Evangeline Striped Maxi Dress","Ulla Johnson","The Ulla Johnson 'Evangeline' dress features colorful stripes knitted with a combination of space-dyed and Lurex yarns. This maxi dress is designed to hug the frame before falling to a ruffle-trimmed pleated skirt and has a turtleneck.",blue,small,316,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244493456702968658731760&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fulla-johnson%2Fclothing%2Fmaxi-dresses%2Fevangeline-striped-pleated-metallic-knit-turtleneck-maxi-dress%2F1647597355030008"
"Ivory Cashmere Polo Sweater","NILI LOTAN","The Nili Lotan 'Carline' sweater is made from soft cashmere with striped detailing along the polo collar, cuffs, and hem. The design features a cable-knit detail at the nape and a collared neckline.",ivory,medium,590,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fnili-lotan%2Fclothing%2Fpolo%2Fcarline-striped-cashmere-polo-sweater%2F46376663162867399"
"adidas Originals Gazelle Indoor Suede Sneakers","adidas originals by alexander wang","The adidas Originals 'Gazelle Indoor' sneakers were initially released in the '70s as an indoor sports shoe. This iteration is made from suede with gummed rubber soles and lace up fastening. These are sneakers.",neutrals,"UK 4",72,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444911751836945359316608&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fadidas-originals%2Fshoes%2Flow-top%2Fgazelle-indoor-suede-sneakers%2F1647597353661037"
"White Vest Top","Max mara","The 'Fornovo' vest from Max Mara is tailored from tightly knitted jersey with a slightly higher neckline, creating a lengthening effect. This sleeveless vest is button detailed.",White,"UK 16",780,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fmax-mara%2Fclothing%2Fvests-and-gilets%2Ffornovo-jersey-vest%2F46376663162862293"
"White Cashmere Striped Top",Gucci,,white,XS,1500,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244494247690145157339095&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fgucci%2Fclothing%2Fround-neck%2Fstriped-cashmere-and-silk-blend-top%2F46376663162893804"
